order_id,customer_id,book_id,order_date,quantity,status,_ingestion_timestamp,_source_file
23926,949,4,2023-02-06,1,DELIVERED,2026-08-12T13:29:33.579667,orders.csv
22639,1506,2,2024-08-16,1,DELIVERED,2026-08-12T13:29:33.579667,orders.csv
3496,2507,1,2024-11-29,10,DELIVERED,2026-08-12T13:29:33.579667,orders.csv
26771,366,1,2020-07-18,1,DELIVERED,2026-08-12T13:29:33.579667,orders.csv
1335,2684,12,2023-10-19,1,DELIVERED,2026-08-12T13:29:33.579667,orders.csv
14720,2589,7,2024-12-30,1,PENDING,2026-08-12T13:29:33.579667,orders.csv
7399,932,2,2024-08-02,2,DELIVERED,2026-08-12T13:29:33.579667,orders.csv
22052,313,1,2022-10-03,1,DELIVERED,2026-08-12T13:29:33.579667,orders.csv
21188,627,2,2020-07-28,6,DELIVERED,2026-08-12T13:29:33.579667,orders.csv
18932,570,1,2022-05-13,2,DELIVERED,2026-08-12T13:29:33.579667,orders.csv
6293,123,1,2024-05-03,1,DELIVERED,2026-08-12T13:29:33.579667,orders.csv
6218,2176,1,2024-06-03,1,DELIVERED,2026-08-12T13:29:33.579667,orders.csv
11031,2337,38,2024-05-26,3,DELIVERED,2026-08-12T13:29:33.579667,orders.csv
25881,734,1,2024-05-28,8,DELIVERED,2026-08-12T13:29:33.579667,orders.csv
20830,1945,1,2024-06-16,10,DELIVERED,2026-08-12T13:29:33.579667,orders.csv
10031,1418,1,2023-06-29,1,DELIVERED,2026-08-12T13:29:33.579667,orders.csv
153,2225,1,2023-07-21,2,CANCELLED,2026-08-12T13:29:33.579667,orders.csv
3442,2067,10,2021-10-30,2,DELIVERED,2026-08-12T13:29:33.579667,orders.csv
9487,2725,3,2020-09-25,1,DELIVERED,2026-08-12T13:29:33.579667,orders.csv
16796,132,1,2024-10-25,0,SHIPPED,2026-08-12T13:29:33.579667,orders.csv
10672,1870,46,2020-11-07,1,DELIVERED,2026-08-12T13:29:33.579667,orders.csv
26758,949,5,2022-02-19,3,SHIPPED,2026-08-12T13:29:33.579667,orders.csv
2304,219,4,2021-10-09,1,DELIVERED,2026-08-12T13:29:33.579667,orders.csv
8350,1753,1,2021-06-13,1,DELIVERED,2026-08-12T13:29:33.579667,orders.csv
17730,2663,1,2024-11-14,2,DELIVERED,2026-08-12T13:29:33.579667,orders.csv
6702,529,2,2024-05-05,1,DELIVERED,2026-08-12T13:29:33.579667,orders.csv
21549,1460,26,2020-08-02,5,SHIPPED,2026-08-12T13:29:33.579667,orders.csv
25334,2017,8888,2024-02-26,1,DELIVERED,2026-08-12T13:29:33.579667,orders.csv
26634,1979,29,2021-10-05,1,DELIVERED,2026-08-12T13:29:33.579667,orders.csv
7565,1796,1,2024-05-06,5,DELIVERED,2026-08-12T13:29:33.579667,orders.csv
14485,62,2,2024-12-28,1,PENDING,2026-08-12T13:29:33.579667,orders.csv
4034,297,4,2024-02-16,2,DELIVERED,2026-08-12T13:29:33.579667,orders.csv
27984,1804,3,2020-09-21,1,CANCELLED,2026-08-12T13:29:33.579667,orders.csv
4405,446,3,2024-05-25,1,DELIVERED,2026-08-12T13:29:33.579667,orders.csv
8221,1758,37,2024-11-18,2,DELIVERED,2026-08-12T13:29:33.579667,orders.csv
24713,1850,1,2023-01-16,1,PROCESSING,2026-08-12T13:29:33.579667,orders.csv
23474,617,3,2024-09-25,1,DELIVERED,2026-08-12T13:29:33.579667,orders.csv
22137,1973,36,2024-05-20,4,SHIPPED,2026-08-12T13:29:33.579667,orders.csv
13212,1756,8,2023-05-07,6,DELIVERED,2026-08-12T13:29:33.579667,orders.csv
5024,1835,7,2023-07-07,1,DELIVERED,2026-08-12T13:29:33.579667,orders.csv
21425,2574,1,2024-05-13,1,DELIVERED,2026-08-12T13:29:33.579667,orders.csv
13858,1411,4,2022-10-07,1,SHIPPED,2026-08-12T13:29:33.579667,orders.csv
27538,2669,7,2021-09-24,1,DELIVERED,2026-08-12T13:29:33.579667,orders.csv
15823,2646,3,2023-11-26,1,DELIVERED,2026-08-12T13:29:33.579667,orders.csv
18791,557,3,2023-12-01,2,DELIVERED,2026-08-12T13:29:33.579667,orders.csv
2858,1506,2,2024-10-29,4,DELIVERED,2026-08-12T13:29:33.579667,orders.csv
3082,845,1,2021-12-07,2,DELIVERED,2026-08-12T13:29:33.579667,orders.csv
12701,980,4,2024-08-14,1,CANCELLED,2026-08-12T13:29:33.579667,orders.csv
5563,1908,1,2022-08-15,1,DELIVERED,2026-08-12T13:29:33.579667,orders.csv
8031,1971,1,2024-02-27,1,DELIVERED,2026-08-12T13:29:33.579667,orders.csv
4789,2476,1,2024-09-12,1,DELIVERED,2026-08-12T13:29:33.579667,orders.csv
5276,519,7,2023-06-02,1,DELIVERED,2026-08-12T13:29:33.579667,orders.csv
