table_name,source_id,rejection_reason,rejected_at
customers,70,NULL_EMAIL,2026-08-12T13:41:37.432591
customers,130,NULL_EMAIL,2026-08-12T13:41:37.432691
customers,354,NULL_EMAIL,2026-08-12T13:41:37.432751
customers,402,NULL_EMAIL,2026-08-12T13:41:37.432796
customers,494,NULL_EMAIL,2026-08-12T13:41:37.432836
customers,714,NULL_EMAIL,2026-08-12T13:41:37.432874
customers,763,NULL_EMAIL,2026-08-12T13:41:37.432910
customers,966,NULL_EMAIL,2026-08-12T13:41:37.432944
customers,1038,NULL_EMAIL,2026-08-12T13:41:37.432976
customers,1097,NULL_EMAIL,2026-08-12T13:41:37.433008
customers,1116,NULL_EMAIL,2026-08-12T13:41:37.433041
customers,1235,NULL_EMAIL,2026-08-12T13:41:37.433072
customers,1466,NULL_EMAIL,2026-08-12T13:41:37.433107
customers,1528,NULL_EMAIL,2026-08-12T13:41:37.433139
customers,1588,NULL_EMAIL,2026-08-12T13:41:37.433170
customers,2084,NULL_EMAIL,2026-08-12T13:41:37.433201
customers,2092,NULL_EMAIL,2026-08-12T13:41:37.433235
customers,2456,NULL_EMAIL,2026-08-12T13:41:37.433315
customers,2579,NULL_EMAIL,2026-08-12T13:41:37.433355
customers,2582,NULL_EMAIL,2026-08-12T13:41:37.433388
customers,2674,NULL_EMAIL,2026-08-12T13:41:37.433421
customers,2760,NULL_EMAIL,2026-08-12T13:41:37.433454
customers,12,INVALID_MEMBERSHIP,2026-08-12T13:41:37.438225
customers,476,INVALID_MEMBERSHIP,2026-08-12T13:41:37.438338
customers,497,INVALID_MEMBERSHIP,2026-08-12T13:41:37.438385
customers,618,INVALID_MEMBERSHIP,2026-08-12T13:41:37.438431
customers,673,INVALID_MEMBERSHIP,2026-08-12T13:41:37.438467
customers,711,INVALID_MEMBERSHIP,2026-08-12T13:41:37.438501
customers,778,INVALID_MEMBERSHIP,2026-08-12T13:41:37.438535
customers,1286,INVALID_MEMBERSHIP,2026-08-12T13:41:37.438566
customers,1886,INVALID_MEMBERSHIP,2026-08-12T13:41:37.438597
customers,2052,INVALID_MEMBERSHIP,2026-08-12T13:41:37.438627
customers,2068,INVALID_MEMBERSHIP,2026-08-12T13:41:37.438658
customers,2686,INVALID_MEMBERSHIP,2026-08-12T13:41:37.438715
orders,16796,INVALID_QUANTITY,2026-08-12T13:41:37.526681
orders,7509,INVALID_QUANTITY,2026-08-12T13:41:37.526746
orders,27773,INVALID_QUANTITY,2026-08-12T13:41:37.526790
orders,26857,INVALID_QUANTITY,2026-08-12T13:41:37.526828
orders,5891,INVALID_QUANTITY,2026-08-12T13:41:37.526866
orders,9436,INVALID_QUANTITY,2026-08-12T13:41:37.526900
orders,21151,INVALID_QUANTITY,2026-08-12T13:41:37.526932
orders,7062,INVALID_QUANTITY,2026-08-12T13:41:37.526962
orders,27274,INVALID_QUANTITY,2026-08-12T13:41:37.527037
orders,16696,INVALID_QUANTITY,2026-08-12T13:41:37.527078
orders,16887,INVALID_QUANTITY,2026-08-12T13:41:37.527110
orders,789,INVALID_QUANTITY,2026-08-12T13:41:37.527142
orders,16757,INVALID_QUANTITY,2026-08-12T13:41:37.527173
